Topic,Score
rejoindre,0.3224263468892237
distance,0.28373518526251684
équipe,0.2708381313869479
webinaire,0.21924991588467213
projet,0.2063528620091032
retrouver,0.19345580813353422
travail,0.18055875425796528
webinar,0.18055875425796528
animer,0.16766170038239633
digital,0.1547646465068274
entreprise,0.1547646465068274
nouveau,0.1547646465068274
outil,0.1547646465068274
rt,0.1547646465068274
télétravail,0.1547646465068274
workplace,0.12897053875568948
design,0.11607348488012054
découvrir,0.11607348488012054
inscrire,0.11607348488012054
venir,0.11607348488012054
